source_file,run_id,case_id,company_name,pred_financing_initiation,true_financing_initiation,financing_initiation_correct,pred_financing_completion,true_financing_completion,financing_completion_correct,pred_deal_type,true_deal_type,deal_type_correct,pred_valuation_direction,true_valuation_direction,valuation_direction_correct,pred_deal_size_usd_m,true_deal_size_usd_m,deal_size_abs_error_usd_m,deal_size_abs_pct_error,deal_size_within_25pct,deal_size_within_50pct
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,218034134_144126445T,218034134,raise_now,raise_now,True,likely_complete,likely_complete,True,later stage vc,later stage vc,True,up,,,50.0,83.0,33.0,0.39759036144578314,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,339444541_771219396T,339444541,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,,,10.0,1.0,9.0,9.0,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,374175356_767844503T,374175356,raise_now,raise_now,True,unlikely_complete,likely_complete,False,seed round,early stage vc,False,flat,,,1.0,0.18086457,0.81913543,4.528998852566868,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,374175356_090165516T,374175356,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,later stage vc,False,up,flat,False,8.571429,0.19359137,8.37783763,43.27588378552205,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,381597158_757264750T,381597158,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,seed round,True,up,,,0.964286,0.5,0.464286,0.928572,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,395080535_182107892T,395080535,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,seed round,True,up,,,10.0,13.520714,3.520714,0.2603940886553772,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,414460303_211651070T,414460303,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,later stage vc,False,up,,,15.0,8.65449364,6.34550636,0.7332036539575064,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,420468035_511690561T,420468035,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,,,10.0,10.0,0.0,0.0,True,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,420468035_575477039T,420468035,raise_now,raise_now,True,likely_complete,likely_complete,True,later stage vc,later stage vc,True,up,,,10.0,38.8,28.799999999999997,0.7422680412371134,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,437602468_696873542T,437602468,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,later stage vc,False,up,,,10.0,1.47444929,8.525550710000001,5.782193235007765,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,440112243_958212705T,440112243,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,,,9.642857,1.35948,8.283377,6.0930480772059905,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,470615116_012605103T,470615116,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,seed round,False,up,,,0.1,2.4,2.3,0.9583333333333333,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,498664659_416326831T,498664659,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,seed round,True,up,,,2.0,0.579923,1.420077,2.4487337111995906,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,514864801_404036528T,514864801,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,,,0.6,1.03780083,0.4378008299999999,0.4218543841403557,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,532341497_266608912T,532341497,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,seed round,True,up,,,10.0,2.331913,7.668087,3.288324650190637,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,532476121_916845364T,532476121,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,early stage vc,False,up,,,10.0,2.0,8.0,4.0,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,532476121_216082716T,532476121,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,later stage vc,False,up,up,True,8.571429,6.456893,2.114536,0.3274850613135451,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,547069886_121337813T,547069886,raise_now,raise_now,True,likely_complete,likely_complete,True,later stage vc,later stage vc,True,up,,,13.846154,10.0,3.8461540000000003,0.38461540000000005,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,547069886_421335654T,547069886,raise_now,raise_now,True,likely_complete,likely_complete,True,later stage vc,later stage vc,True,up,,,25.0,46.89734952,21.89734952,0.4669208333545925,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,550085105_987629757T,550085105,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,,,8.928571,0.38615282,8.54241818,22.121858853704605,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,550085105_454903106T,550085105,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,later stage vc,False,up,up,True,1.078571,0.54467497,0.53389603,0.980210326169385,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,613912775_146007652T,613912775,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,early stage vc,False,up,,,0.964286,0.63061058,0.33367541999999994,0.5291307037696702,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,613912775_798380947T,613912775,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,early stage vc,False,up,down,False,8.571429,2.2426527,6.3287763,2.8220046287149145,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,625322647_365842370T,625322647,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,seed round,True,up,,,9.357143,0.42298255,8.93416045,21.12181802771769,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,627018345_056824043T,627018345,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,seed round,False,up,,,1.821429,1.8825,0.0610710000000001,0.03244143426294826,True,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,627018345_496692556T,627018345,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,up,True,4.142857,0.999999,3.1428580000000004,3.1428611428611433,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,627018345_377129745T,627018345,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,up,True,10.0,7.00014,2.99986,0.4285428577142743,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,627018345_449868806T,627018345,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,up,True,10.0,9.999934,6.600000000034356e-05,6.600043560321855e-06,True,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,641096591_470066679T,641096591,raise_now,raise_now,True,unlikely_complete,likely_complete,False,seed round,seed round,True,up,,,0.964286,0.72285711,0.24142889,0.33399255075460216,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,695406116_499898191T,695406116,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,,,6.142857,6.55919033,0.4163333299999996,0.06347328085538259,True,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,695406116_977223306T,695406116,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,flat,False,10.357143,7.64222742,2.7149155800000004,0.35525186974872835,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,695406116_843339679T,695406116,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,down,False,10.0,12.7034601,2.703460099999999,0.21281289339429652,True,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,715033945_619516421T,715033945,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,early stage vc,False,up,,,1.306123,3.275,1.968877,0.6011838167938931,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,715033945_181019126T,715033945,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,up,True,10.0,15.000002,5.000002,0.3333334222222104,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,715033945_782061400T,715033945,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,later stage vc,False,up,up,True,22.923077,10.000004,12.923072999999999,1.2923067830772865,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,719387351_143471987T,719387351,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,seed round,False,up,,,10.0,4.170682,5.829318,1.3976893946841307,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,749494801_557473942T,749494801,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,seed round,True,up,,,1.0,3.3,2.3,0.6969696969696969,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,749494801_437639184T,749494801,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,seed round,True,up,flat,False,5.0,6.0,1.0,0.16666666666666666,True,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,811956194_422362760T,811956194,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,,,1.464286,5.07403412,3.6097481200000003,0.7114158152330281,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,811956194_984457418T,811956194,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,down,False,10.0,1.48504446,8.51495554,5.733805127962298,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,814334279_368343132T,814334279,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,later stage vc,False,up,,,10.0,1.2616651,8.7383349,6.926033620173848,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,814334279_212012873T,814334279,raise_now,raise_now,True,likely_complete,likely_complete,True,later stage vc,later stage vc,True,up,,,15.0,4.47705717,10.52294283,2.3504151120768464,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,848991802_308266590T,848991802,raise_now,raise_now,True,unlikely_complete,likely_complete,False,seed round,seed round,True,up,,,6.142857,0.62592494,5.51693206,8.814047352067487,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,848991802_250474858T,848991802,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,up,True,1.223413,1.89206973,0.6686567299999999,0.3533996233849161,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,873966444_911177755T,873966444,raise_now,raise_now,True,likely_complete,likely_complete,True,seed round,early stage vc,False,up,,,2.035714,2.200532,0.1648179999999999,0.0748991607484008,True,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,873966444_698264161T,873966444,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,up,True,6.428571,10.272913,3.844342000000001,0.37422121651375817,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,873966444_329054140T,873966444,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,later stage vc,False,up,up,True,15.0,25.000002,10.000001999999999,0.4000000479999961,False,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,873966444_915471547T,873966444,raise_now,raise_now,True,likely_complete,likely_complete,True,later stage vc,later stage vc,True,up,up,True,50.0,60.000002,10.000002000000002,0.16666669444444354,True,True
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,924462846_581849960T,924462846,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,,,2.035714,1.32954772,0.7061662799999999,0.5311327072938757,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,924462846_585063651T,924462846,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,up,True,4.821429,2.23332355,2.58810545,1.158858263058212,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,924462846_941227886T,924462846,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,early stage vc,True,up,up,True,10.0,3.87894254,6.121057459999999,1.5780222049899195,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,924462846_205213706T,924462846,raise_now,raise_now,True,likely_complete,likely_complete,True,early stage vc,later stage vc,False,up,down,False,10.0,2.9322216,7.0677784,2.410383444416343,False,False
outputs/batch/pitchbook_001/run_001/results.jsonl,run_001,924462846_242496413T,924462846,raise_now,raise_now,True,likely_complete,likely_complete,True,later stage vc,later stage vc,True,up,up,True,10.357143,4.18117477,6.1759682300000005,1.4770892320293993,False,False
